"
Temporada","Población registrada
(número de ballenas)"
1996,"1,475"
1997,"1,948"
1998,"1,743"
1999,987
2000,941
2001,880
2002,"1,454"
2003,"1,420"
2004,"2,278"
2005,"2,195"
2006,"2,219"
2007,"1,129"
2008,"1,340"
2009,"1,231"
2010,781
2011,"1,858"
2012,"3,068"
2013,"1,713"
2014,"2,419"
2015,"2,669"
2016,"2,531"
2017,"1,851"
2018,"1,879"
2019,"1,063"
2020,969
2021,"1,382"
2022,"1,126"
2023,"1,518"
2024,883
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
